type	query.author	query.papers
author	"""Genome of the Netherlands consortium""[Corporate Author]"	The Genome of the Netherlands: design, and project goals[Title]
papers	"""Genome of the Netherlands consortium""[Corporate Author]"	The Genome of the Netherlands: design, and project goals[Title]
